iteration,gene,position,fitness
7,[9, 33, 18, 44],[[467, 1066], [769, 1036], [1114, 954], [1409, 958]],[237.13333333333333, 1640.3780000000002]
7,[9, 101, 11, 27],[[467, 1066], [829, 1070], [1034, 1023], [1549, 993]],[256.2, 1636.561]
7,[9, 96, 18, 9],[[467, 1066], [789, 1001], [1114, 954], [1309, 1131]],[239.31034482758622, 1640.2386206896551]
7,[43, 96, 18, 44],[[747, 1066], [789, 1001], [1114, 954], [1409, 958]],[246.96666666666667, 1649.0166666666673]
7,[43, 96, 18, 48],[[747, 1066], [789, 1001], [1114, 954], [1449, 1027]],[253.63333333333333, 1697.9240000000002]
7,[7, 41, 61, 44],[[467, 928], [849, 1036], [1014, 988], [1409, 958]],[9.99999999E8, 9.99999999E8]
8,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
8,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.53333333333333, 1643.041]
8,[9, 33, 18, 44],[[467, 1066], [769, 1036], [1114, 954], [1409, 958]],[240.96666666666667, 1637.7896666666666]
8,[9, 41, 18, 39],[[467, 1066], [849, 1036], [1114, 954], [1329, 1027]],[240.33333333333334, 1661.6103333333335]
8,[73, 41, 18, 44],[[647, 824], [849, 1036], [1114, 954], [1409, 958]],[248.96666666666667, 1641.878]
8,[90, 101, 12, 44],[[807, 893], [829, 1070], [1034, 1092], [1409, 958]],[250.17241379310346, 1665.0255172413792]
8,[9, 96, 76, 46],[[467, 1066], [789, 1001], [1214, 988], [1409, 1096]],[256.9310344827586, 1664.4341379310347]
8,[9, 96, 18, 48],[[467, 1066], [789, 1001], [1114, 954], [1449, 1027]],[256.76666666666665, 1671.003]
8,[43, 96, 18, 48],[[747, 1066], [789, 1001], [1114, 954], [1449, 1027]],[259.4, 1684.0433333333335]
8,[9, 96, 34, 48],[[467, 1066], [789, 1001], [1314, 1023], [1449, 1027]],[9.99999999E8, 9.99999999E8]
8,[9, 41, 2, 44],[[467, 1066], [849, 1036], [914, 1161], [1409, 958]],[9.99999999E8, 9.99999999E8]
9,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
9,[25, 41, 18, 9],[[587, 1135], [849, 1036], [1114, 954], [1309, 1131]],[232.06896551724137, 1665.848275862069]
9,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[240.20689655172413, 1646.3017241379307]
9,[9, 41, 18, 39],[[467, 1066], [849, 1036], [1114, 954], [1329, 1027]],[235.96666666666667, 1647.257]
9,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[242.6206896551724, 1632.307931034483]
9,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[236.56666666666666, 1654.6950000000002]
9,[73, 41, 18, 44],[[647, 824], [849, 1036], [1114, 954], [1409, 958]],[245.86666666666667, 1641.5596666666665]
9,[9, 46, 18, 44],[[467, 1066], [929, 967], [1114, 954], [1409, 958]],[246.0, 1692.6417241379313]
9,[85, 24, 71, 44],[[727, 1031], [689, 1105], [1134, 1057], [1409, 958]],[9.99999999E8, 9.99999999E8]
9,[9, 83, 18, 44],[[467, 1066], [709, 932], [1114, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
9,[90, 84, 18, 39],[[807, 893], [709, 1001], [1114, 954], [1329, 1027]],[9.99999999E8, 9.99999999E8]
10,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
10,[9, 41, 13, 44],[[467, 1066], [849, 1036], [1034, 1161], [1409, 958]],[230.89655172413794, 2299.09]
10,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[235.23333333333332, 1643.471]
10,[9, 41, 14, 44],[[467, 1066], [849, 1036], [1074, 954], [1409, 958]],[239.68965517241378, 1635.9327586206894]
10,[25, 41, 18, 39],[[587, 1135], [849, 1036], [1114, 954], [1329, 1027]],[237.2, 1667.3146666666669]
10,[73, 41, 18, 44],[[647, 824], [849, 1036], [1114, 954], [1409, 958]],[244.86666666666667, 1651.321]
10,[9, 41, 40, 44],[[467, 1066], [849, 1036], [1394, 1023], [1409, 958]],[259.8, 1664.3213333333335]
10,[73, 41, 46, 44],[[647, 824], [849, 1036], [1474, 1023], [1409, 958]],[262.37931034482756, 1740.9451724137934]
10,[9, 41, 18, 7],[[467, 1066], [849, 1036], [1114, 954], [1309, 993]],[9.99999999E8, 9.99999999E8]
10,[73, 57, 36, 44],[[647, 824], [469, 863], [1354, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
10,[9, 76, 18, 44],[[467, 1066], [669, 794], [1114, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
11,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
11,[9, 41, 18, 9],[[467, 1066], [849, 1036], [1114, 954], [1309, 1131]],[232.3793103448276, 1652.5668965517239]
11,[9, 41, 18, 53],[[467, 1066], [849, 1036], [1114, 954], [1529, 958]],[243.43333333333334, 1852.134666666667]
11,[73, 41, 18, 44],[[647, 824], [849, 1036], [1114, 954], [1409, 958]],[250.5, 1673.8439999999998]
11,[23, 41, 18, 39],[[587, 997], [849, 1036], [1114, 954], [1329, 1027]],[244.06666666666666, 1680.994333333333]
11,[73, 41, 18, 44],[[647, 824], [849, 1036], [1114, 954], [1409, 958]],[245.83333333333334, 1690.8173333333327]
11,[80, 41, 14, 23],[[687, 962], [849, 1036], [1074, 954], [1509, 993]],[254.23333333333332, 1682.6676666666667]
11,[54, 108, 51, 44],[[447, 1031], [909, 1070], [1554, 1023], [1409, 958]],[254.43333333333334, 1731.2169999999996]
11,[25, 41, 29, 26],[[587, 1135], [849, 1036], [1234, 1092], [1549, 924]],[258.3333333333333, 1790.4336666666666]
11,[9, 94, 14, 44],[[467, 1066], [789, 863], [1074, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
11,[9, 41, 13, 44],[[467, 1066], [849, 1036], [1034, 1161], [1409, 958]],[9.99999999E8, 9.99999999E8]
12,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
12,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[237.6551724137931, 1639.320344827586]
12,[9, 41, 31, 17],[[467, 1066], [849, 1036], [1274, 1023], [1429, 1062]],[255.53333333333333, 1678.8700000000001]
12,[23, 41, 18, 39],[[587, 997], [849, 1036], [1114, 954], [1329, 1027]],[241.66666666666666, 1689.9039999999995]
12,[23, 41, 18, 50],[[587, 997], [849, 1036], [1114, 954], [1489, 958]],[247.23333333333332, 1737.614]
12,[78, 41, 18, 42],[[687, 824], [849, 1036], [1114, 954], [1369, 1027]],[252.66666666666666, 1692.840666666667]
12,[73, 41, 18, 53],[[647, 824], [849, 1036], [1114, 954], [1529, 958]],[252.4, 1816.1213333333335]
12,[52, 41, 103, 23],[[407, 1169], [849, 1036], [1534, 1057], [1509, 993]],[264.3103448275862, 1767.5331034482758]
12,[73, 5, 18, 9],[[647, 824], [529, 1036], [1114, 954], [1309, 1131]],[9.99999999E8, 9.99999999E8]
12,[74, 11, 18, 39],[[647, 893], [609, 898], [1114, 954], [1329, 1027]],[9.99999999E8, 9.99999999E8]
12,[80, 57, 14, 9],[[687, 962], [469, 863], [1074, 954], [1309, 1131]],[9.99999999E8, 9.99999999E8]
13,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
13,[35, 41, 18, 44],[[667, 1135], [849, 1036], [1114, 954], [1409, 958]],[233.93333333333334, 1646.1213333333335]
13,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[239.56666666666666, 1632.0243333333333]
13,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[237.58620689655172, 1632.9444827586203]
13,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[237.7, 1639.5580000000002]
